title,url,scraped_at,category
Anthropic takes $5B from Amazon and pledges $100B in cloud spending in return,https://techcrunch.com/2026/04/20/anthropic-takes-5b-from-amazon-and-pledges-100b-in-cloud-spending-in-return/,2026-04-21 18:08:38.405328,AI Companies
Google rolls out Gemini in Chrome in 7 new countries,https://techcrunch.com/2026/04/20/google-rolls-out-gemini-in-chrome-in-seven-new-countries/,2026-04-21 18:08:38.405328,AI Companies
"NSA spies are reportedly using Anthropic’s Mythos, despite Pentagon feud",https://techcrunch.com/2026/04/20/nsa-spies-are-reportedly-using-anthropics-mythos-despite-pentagon-feud/,2026-04-21 18:08:38.405328,AI Companies
OpenAI’s existential questions,https://techcrunch.com/2026/04/19/openais-existential-questions/,2026-04-21 18:08:38.405328,AI Companies
AI chip startup Cerebras files for IPO,https://techcrunch.com/2026/04/18/ai-chip-startup-cerebras-files-for-ipo/,2026-04-21 18:08:38.405328,Infrastructure
Anthropic’s relationship with the Trump administration seems to be thawing,https://techcrunch.com/2026/04/18/anthropics-relationship-with-the-trump-administration-seems-to-be-thawing/,2026-04-21 18:08:38.405328,AI Companies
"The App Store is booming again, and AI may be why",https://techcrunch.com/2026/04/18/the-app-store-is-booming-again-and-ai-may-be-why/,2026-04-21 18:08:38.405328,AI Products
Kevin Weil and Bill Peebles exit OpenAI as company continues to shed ‘side quests’,https://techcrunch.com/2026/04/17/kevin-weil-and-bill-peebles-exit-openai-as-company-continues-to-shed-side-quests/,2026-04-21 18:08:38.405328,AI Companies
"Anthropic launches Claude Design, a new product for creating quick visuals",https://techcrunch.com/2026/04/17/anthropic-launches-claude-design-a-new-product-for-creating-quick-visuals/,2026-04-21 18:08:38.405328,AI Companies
OpenAI takes aim at Anthropic with beefed-up Codex that gives it more power over your desktop,https://techcrunch.com/2026/04/16/openai-takes-aim-at-anthropic-with-beefed-up-codex-that-gives-it-more-power-over-your-desktop/,2026-04-21 18:08:38.405328,AI Companies
Anthropic CPO leaves Figma’s board after reports he will offer a competing product,https://techcrunch.com/2026/04/16/anthropic-cpo-leaves-figmas-board-after-reports-he-will-offer-a-competing-product/,2026-04-21 18:08:38.405328,AI Companies
Google now lets you explore the web side-by-side with AI Mode,https://techcrunch.com/2026/04/16/google-now-lets-you-explore-the-web-side-by-side-with-ai-mode/,2026-04-21 18:08:38.405328,AI Companies
"Roblox’s AI assistant gets new agentic tools to plan, build, and test games",https://techcrunch.com/2026/04/16/robloxs-ai-assistant-gets-new-agentic-tools-to-plan-build-and-test-games/,2026-04-21 18:08:38.405328,AI Products
"Tim Cook stepping down as Apple CEO, John Ternus taking over",https://techcrunch.com/2026/04/20/tim-cook-stepping-down-as-apple-ceo-john-ternus-taking-over/,2026-04-21 18:08:38.405328,AI Products
"Anthropic launches Claude Design, a new product for creating quick visuals",https://techcrunch.com/2026/04/17/anthropic-launches-claude-design-a-new-product-for-creating-quick-visuals/,2026-04-21 18:08:38.405328,AI Companies
Anthropic CPO leaves Figma’s board after reports he will offer a competing product,https://techcrunch.com/2026/04/16/anthropic-cpo-leaves-figmas-board-after-reports-he-will-offer-a-competing-product/,2026-04-21 18:08:38.405328,AI Companies
WhatsApp,https://techcrunch.com/2026/04/20/whatsapp-is-testing-a-premium-subscription-put-it-is-mainly-cosmetic/,2026-04-21 18:08:38.405328,AI Products
John Ternus to become Apple CEO,https://www.apple.com/newsroom/2026/04/tim-cook-to-become-apple-executive-chairman-john-ternus-to-become-apple-ceo/,2026-04-21 18:08:49.808398,AI Products
Anthropic says OpenClaw-style Claude CLI usage is allowed again,https://docs.openclaw.ai/providers/anthropic,2026-04-21 18:08:49.808398,AI Companies
Apple ignores DMA interoperability requests and contradicts own documentation,https://fsfe.org/news/2026/news-20260420-01.html,2026-04-21 18:08:49.808398,AI Products
Show HN: Mediator.ai – Using Nash bargaining and LLMs to systematize fairness,https://mediator.ai/,2026-04-21 18:08:49.808398,AI Research
